,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre,Description
4688,Zero,2018,Not Rated,5.4,-1.1,1341716,-1,164,"Comedy, Drama, Romance","The story revolves around Bauua Singh (Shah Rukh Khan), a vertically challenged man, who is full of charm and wit, with a pinch of arrogance. Born to a wealthy family and raised in an environment of affluence, he is challenged to broaden his horizon and find purpose in life."
4689,Nothing to Lose,2018,PG,5.4,-1.1,1341716,1003497,134,"Biography, Drama","Self-financed fictional biopic of Brazilian bishop Edir Macedo, founder of the Universal Church of the Kingdom of God and owner of Record TV network."
4690,The Princess Switch,2018,TV-PG,6.0,-1.1,1341716,-1,101,"Comedy, Drama, Family","Competing in a Christmas baking competition in Belgravia, a Chicago baker bumps into the prince's fiancée--who looks just like her. They switch lives for two days."
4691,Second Act,2018,PG-13,5.8,46.0,1341716,39282227,103,"Comedy, Drama, Romance",A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.
4692,Calibre,2018,TV-MA,6.8,76.0,1341716,-1,101,"Drama, Thriller",A shocking deed turned their weekend trip into a nightmare. Now their only hope is to swallow their paranoia and act normal.
4693,Dragon Ball Super: Broly,2018,PG,7.9,59.0,1341716,30712119,100,"Animation, Action, Adventure","Goku and Vegeta encounter Broly, a Saiyan warrior unlike any fighter they've faced before."
4694,Dogman,2018,Not Rated,7.2,71.0,1341716,148225,103,"Crime, Drama, Thriller","A timid dog groomer living in a poor suburb sells cocaine on the side and stays out of trouble, while trying to deal with his unstable, violent acquaintance who is a menace to the whole neighborhood."
4695,"Don't Worry, He Won't Get Far on Foot",2018,R,6.9,67.0,1341716,1441705,114,"Biography, Comedy, Drama","On the rocky path to sobriety after a life-changing accident, John Callahan discovers the healing power of art, willing his injured hands into drawing hilarious, often controversial cartoons, which bring him a new lease on life."
4696,Ölümlü Dünya,2018,Not Certified,7.7,-1.1,1341716,-1,107,"Action, Comedy, Crime","Mermer Family lives a double life working at their family owned restaurant while being undercover assassins for an international organization. After their secret is revealed, this dysfunctional family needs to work together to survive."
4697,The Nightingale,2018,R,7.3,77.0,1341716,392573,136,"Adventure, Drama, Thriller","Set in 1825, Clare, a young Irish convict woman, chases a British officer through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. On the way she enlists the services of an Aboriginal tracker named Billy, who is also marked by trauma from his own violence-filled past."
4698,Prospect,2018,R,6.3,68.0,1341716,-1,100,"Drama, Sci-Fi, Thriller","A teenage girl and her father travel to a remote alien moon, aiming to strike it rich. They've secured a contract to harvest a large deposit of the elusive gems hidden in the depths of the moon's toxic forest. But there are others roving the wilderness and the job quickly devolves into a fight to survive. Forced to contend not only with the forest's other ruthless inhabitants, but with her own.
"
4699,Pad Man,2018,PG-13,7.9,-1.1,1341716,1662927,140,"Comedy, Drama","Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
4700,The Night Comes for Us,2018,TV-MA,7.0,69.0,1341716,-1,121,"Action, Thriller","Ito, a gangland enforcer, caught amidst a treacherous and violent insurrection within his Triad crime family upon his return home from a stint abroad."
4701,2.0,2018,Not Rated,6.3,-1.1,1341716,5570000,148,"Action, Sci-Fi","After mobiles start mysteriously flying out of the hands of people in Chennai, Dr Vaseegaran summons his trusted robot Chitti to ward off the bird-shaped supernatural powers of Pakshirajan."
4702,Parmanu: The Story of Pokhran,2018,Not Rated,7.6,-1.1,1341716,-1,129,"Action, Drama, History","Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies."
4703,The Wild Pear Tree,2018,Not Certified,8.1,86.0,1341716,34014,188,Drama,"An unpublished writer returns to his hometown after graduating, where he seeks sponsors to publish his book while dealing with his father's deteriorating indulgence into gambling."
4704,The Outsider,2018,TV-MA,6.3,30.0,1341716,-1,120,"Action, Crime, Drama",An epic set in post-WWII Japan and centered on an American former G.I. who joins the yakuza.
4705,Welcome to Marwen,2018,PG-13,6.2,40.0,1341716,10763520,116,"Biography, Comedy, Drama",A victim of a brutal attack finds a unique and beautiful therapeutic outlet to help him through his recovery process.
4706,Early Man,2018,PG,6.1,68.0,1341716,8267544,89,"Animation, Adventure, Comedy","Set at the dawn of time, when prehistoric creatures and woolly mammoths roamed the earth, Early Man tells the story of Dug, along with sidekick Hognob as they unite his tribe against a mighty enemy Lord Nooth and his Bronze Age City to save their home."
4707,"Juliet, Naked",2018,R,6.6,67.0,1341716,3444895,97,"Comedy, Drama, Music","Juliet, Naked is the story of Annie (the long-suffering girlfriend of Duncan) and her unlikely transatlantic romance with once revered, now faded, singer-songwriter, Tucker Crowe, who also happens to be the subject of Duncan's musical obsession."
4708,Colette,2018,R,6.7,74.0,1341716,5137622,111,"Biography, Drama, History","Colette is pushed by her husband to write novels under his name. Upon their success, she fights to make her talents known, challenging gender norms."
4709,Sonu Ke Titu Ki Sweety,2018,Not Rated,7.1,-1.1,1341716,-1,138,"Comedy, Romance",Titu is going to marry a perfect woman named Sweety. Titu's best-friend Sonu doubts Sweety's character and tries to break the marriage while Sweety tries to do opposite and which leads to war between Bromance and Romance.
4710,Terminal,2018,Not Rated,5.4,27.0,1341716,-1,95,"Crime, Drama, Thriller","A film noir taking place in a train terminal at night. Add 2 male assassins, female assassin, waitress, teacher, janitor and crime boss. Add revenge. Who says mystery is a lost art?"
4711,The Possession of Hannah Grace,2018,R,5.2,37.0,1341716,14837422,86,"Horror, Mystery, Thriller","When a cop who is just out of rehab takes the graveyard shift in a city hospital morgue, she faces a series of bizarre, violent events caused by an evil entity in one of the corpses."
4712,Bad Samaritan,2018,R,6.5,42.0,1341716,3435047,110,"Crime, Horror, Thriller",A pair of burglars stumble upon a woman being held captive in a home they intended to rob.
4713,96,2018,Not Rated,8.6,-1.1,1341716,-1,158,"Drama, Romance",Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
4714,Like Father,2018,TV-MA,6.1,52.0,1341716,-1,98,"Comedy, Drama","After she's left at the altar, a workaholic advertising executive ends up on her Caribbean honeymoon cruise with her estranged father."
4715,The Hurricane Heist,2018,PG-13,5.1,35.0,1341716,6115825,103,"Action, Adventure, Crime",Thieves attempt a massive heist against the U.S. Treasury as a Category 5 hurricane approaches one of its Mint facilities.
4716,Beirut,2018,R,6.4,69.0,1341716,5019226,109,"Action, Crime, Drama","Caught in the crossfires of civil war, CIA operatives must send a former U.S. diplomat to negotiate for the life of a friend he left behind."
4717,The Week Of,2018,TV-14,5.2,41.0,1341716,-1,116,Comedy,"Two fathers with opposing personalities come together to celebrate the wedding of their children. They are forced to spend the longest week of their lives together, and the big day cannot come soon enough."
4718,The Miseducation of Cameron Post,2018,Not Rated,6.6,69.0,1341716,904703,91,Drama,"In 1993, a teenage girl is forced into a gay conversion therapy center by her conservative guardians."
4719,Rangasthalam 1985,2018,Not Rated,8.4,-1.1,1341716,3510000,170,"Action, Drama","The fear of his elder brother's death starts to haunt an innocent, hearing impaired guy after they both join forces to overthrow the unlawful 30 year long regime of their village's president."
4720,Ben Is Back,2018,R,6.7,66.0,1341716,3703184,103,Drama,A drug addicted teenage boy shows up unexpectedly at his family's home on Christmas Eve.
4721,Traffik,2018,R,6.0,37.0,1341716,9186156,96,Thriller,"A couple off for a romantic weekend in the mountains are accosted by a biker gang. Alone in the mountains, Brea and John must defend themselves against the gang, who will stop at nothing to protect their secrets."
4722,Every Day,2018,PG-13,6.4,52.0,1341716,6102076,97,"Drama, Fantasy, Romance",A shy teenager falls for a spirit who wakes up in the body of a different person every morning.
4723,Goosebumps 2: Haunted Halloween,2018,PG,5.6,53.0,1341716,46700633,90,"Adventure, Comedy, Family",Two young friends find a magic book that brings a ventriloquist's dummy to life.
4724,Thugs of Hindostan,2018,Not Rated,4.1,-1.1,1341716,1449848,164,"Action, Adventure","Recruited by the East India Company, a local thug infiltrates a troop of patriotic bandits who plan to overthrow the British regime and reclaim their independence."
4725,The Clovehitch Killer,2018,Unrated,6.6,59.0,1341716,8208,109,"Crime, Drama, Mystery",A picture-perfect family is shattered when the work of a serial killer hits too close to home.
