,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre,Description
0,Gladiator,2000,R,8.5,67.0,1341716,187705427,155,"Action, Adventure, Drama",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
1,Memento,2000,R,8.4,80.0,1341716,25544867,113,"Mystery, Thriller",A man with short-term memory loss attempts to track down his wife's murderer.
2,Snatch,2000,R,8.3,55.0,1341716,30328156,102,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
3,Requiem for a Dream,2000,R,8.3,68.0,1341716,3635482,102,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
4,X-Men,2000,PG-13,7.4,64.0,1341716,157299717,104,"Action, Adventure, Sci-Fi","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
5,Cast Away,2000,PG-13,7.8,73.0,1341716,233632142,143,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
6,American Psycho,2000,R,7.6,64.0,1341716,15070285,101,"Comedy, Crime, Drama","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
7,Unbreakable,2000,PG-13,7.3,62.0,1341716,95011339,106,"Drama, Mystery, Sci-Fi",A man learns something extraordinary about himself after a devastating accident.
8,Mission: Impossible II,2000,PG-13,6.1,59.0,1341716,215409889,123,"Action, Adventure, Thriller","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera""."
9,Meet the Parents,2000,PG-13,7.0,73.0,1341716,166244045,108,"Comedy, Romance","Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
10,"O Brother, Where Art Thou?",2000,PG-13,7.7,69.0,1341716,45512588,107,"Adventure, Comedy, Crime","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
11,Gone in 60 Seconds,2000,PG-13,6.5,35.0,1341716,101648571,118,"Action, Crime, Thriller",A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
12,The Patriot,2000,R,7.2,63.0,1341716,113330342,165,"Action, Drama, History",Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.
13,"Crouching Tiger, Hidden Dragon",2000,PG-13,7.8,94.0,1341716,128078872,120,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
14,Almost Famous,2000,R,7.9,90.0,1341716,32534850,122,"Adventure, Comedy, Drama",A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
15,Scary Movie,2000,R,6.2,48.0,1341716,157019771,88,Comedy,"A year after disposing of the body of a man they accidentally killed, a group of dumb teenagers are stalked by a bumbling serial killer."
16,Final Destination,2000,R,6.7,36.0,1341716,53331147,98,"Horror, Thriller","Alex Browning is among a group of high school students readying themselves for a trip to Europe. When he suddenly has a premonition their airplane will crash, he screams to warn the others but instead he is thrown off of the plane."
17,Pitch Black,2000,R,7.1,49.0,1341716,39240659,109,"Action, Horror, Sci-Fi","A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur."
18,Amores Perros,2000,R,8.1,83.0,1341716,5383834,154,"Drama, Thriller","A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
19,The Beach,2000,R,6.7,43.0,1341716,39785027,119,"Adventure, Drama, Romance","Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it."
20,"Me, Myself & Irene",2000,R,6.6,49.0,1341716,90570999,116,Comedy,A nice-guy cop with Dissociative Identity Disorder must protect a woman on the run from a corrupt ex-boyfriend and his associates.
21,How the Grinch Stole Christmas,2000,PG,6.2,46.0,1341716,260044825,104,"Comedy, Family, Fantasy","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town."
22,Remember the Titans,2000,PG,7.8,48.0,1341716,115654751,113,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
23,Traffic,2000,R,7.6,86.0,1341716,124115725,147,"Crime, Drama, Thriller","A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
24,What Women Want,2000,PG-13,6.4,47.0,1341716,182811707,127,"Comedy, Fantasy, Romance","A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking."
25,Miss Congeniality,2000,PG-13,6.3,43.0,1341716,106807667,109,"Action, Comedy, Crime",An F.B.I. Agent must go undercover in the Miss United States beauty pageant to prevent a group from bombing the event.
26,The Emperor's New Groove,2000,G,7.4,70.0,1341716,89302687,78,"Animation, Adventure, Comedy","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
27,Chocolat,2000,PG-13,7.2,64.0,1341716,71509363,121,"Drama, Romance",A woman and her daughter open a chocolate shop in a small French village that shakes up the rigid morality of the community.
28,Chicken Run,2000,G,7.0,88.0,1341716,106834564,84,"Animation, Adventure, Comedy","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
29,Charlie's Angels,2000,PG-13,5.5,52.0,1341716,125305545,98,"Action, Adventure, Comedy","Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
30,Erin Brockovich,2000,R,7.3,73.0,1341716,125595205,131,"Biography, Drama",An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply.
31,Battle Royale,2000,Not Rated,7.6,81.0,1341716,-1,114,"Action, Adventure, Drama","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
32,High Fidelity,2000,R,7.5,79.0,1341716,27277055,113,"Comedy, Drama, Music","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
33,Road Trip,2000,R,6.4,55.0,1341716,68540777,93,Comedy,Four college buddies embark on a road trip to retrieve an illicit tape mistakenly mailed to a female friend.
34,The Perfect Storm,2000,PG-13,6.4,59.0,1341716,182618434,130,"Action, Adventure, Drama",An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
35,"Dude, Where's My Car?",2000,PG-13,5.5,30.0,1341716,46729800,83,"Comedy, Mystery, Sci-Fi",Two potheads wake up after a night of partying and cannot remember where they parked their car.
36,Billy Elliot,2000,R,7.7,74.0,1341716,21995263,110,"Drama, Music",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
37,In the Mood for Love,2000,PG,8.1,85.0,1341716,2734044,98,"Drama, Romance","Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
38,Scream 3,2000,R,5.6,56.0,1341716,89138076,116,"Horror, Mystery","While Sidney and her friends visit the Hollywood set of Stab 3, the third film based on the Woodsboro murders, another Ghostface killer rises to terrorize them."
39,Hollow Man,2000,R,5.8,24.0,1341716,73209340,112,"Action, Horror, Sci-Fi","When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences."
40,Shanghai Noon,2000,PG-13,6.6,77.0,1341716,56937502,110,"Action, Adventure, Comedy","A Chinese man travels to the Wild West to rescue a kidnapped Princess. After teaming up with a train robber, the unlikely duo takes on a Chinese traitor and his corrupt boss."
41,What Lies Beneath,2000,PG-13,6.6,51.0,1341716,155464351,130,"Drama, Fantasy, Horror",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.
42,The 6th Day,2000,PG-13,5.9,49.0,1341716,34604280,123,"Action, Mystery, Sci-Fi",Futuristic action film about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.
43,Pay It Forward,2000,PG-13,7.2,40.0,1341716,33519628,123,Drama,A young boy attempts to make the world a better place after his teacher gives him that chance.
44,The Whole Nine Yards,2000,R,6.7,47.0,1341716,57262492,98,"Comedy, Crime","A struggling dentist's life is turned upside down when a famous gangster moves in next door, and his wife convinces him to inform a notorious mob boss about the gangster's whereabouts."
45,Men of Honor,2000,R,7.2,56.0,1341716,48818921,129,"Biography, Drama","The story of Carl Brashear, the first African-American U.S. Navy Diver, and the man who trained him."
46,Coyote Ugly,2000,PG-13,5.7,27.0,1341716,60786269,100,"Comedy, Drama, Music","Aspiring songwriter Violet Sanford, after getting a job at a women-run NYC bar that teases its male patrons, comes out of her shell."
47,The Family Man,2000,PG-13,6.8,42.0,1341716,75793305,125,"Comedy, Drama, Fantasy","A fast-lane investment broker, offered the opportunity to see how the other half lives, wakes up to find that his sports car and girlfriend have become a mini-van and wife."
48,Dancer in the Dark,2000,R,8.0,61.0,1341716,4184036,140,"Crime, Drama, Musical","An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film."
49,Frequency,2000,PG-13,7.3,67.0,1341716,45010278,118,"Crime, Drama, Mystery","An accidental cross-time radio link connects father and son across 30 years. The son tries to save his father's life, but then must fix the consequences."
50,Little Nicky,2000,PG-13,5.3,38.0,1341716,39464775,90,"Comedy, Fantasy","After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late."
51,Bedazzled,2000,PG-13,6.0,49.0,1341716,37879996,93,"Comedy, Fantasy","Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul."
52,The Cell,2000,R,6.4,40.0,1341716,61334059,107,"Horror, Sci-Fi, Thriller","An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim."
53,Malena,2000,R,7.5,54.0,1341716,3429045,108,"Comedy, Drama, Romance","Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
54,Bring It On,2000,PG-13,6.0,52.0,1341716,68379000,98,"Comedy, Romance, Sport",A champion high school cheerleading squad discovers its previous captain stole all their best routines from an inner-city school and must scramble to compete at this year's championships.
55,The Road to El Dorado,2000,PG,6.9,51.0,1341716,50863742,89,"Animation, Adventure, Comedy","Two swindlers get their hands on a map to the fabled city of gold, El Dorado."
56,Finding Forrester,2000,PG-13,7.3,62.0,1341716,66400000,136,Drama,A young writing prodigy finds a mentor in a reclusive author.
57,Big Momma's House,2000,PG-13,5.2,33.0,1341716,117559438,99,"Action, Comedy, Crime","In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother."
58,U-571,2000,PG-13,6.6,62.0,1341716,77086030,116,"Action, War",A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.
59,Battlefield Earth,2000,PG-13,2.5,9.0,1341716,21471685,118,"Action, Adventure, Sci-Fi","It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime."
60,Space Cowboys,2000,PG-13,6.4,73.0,1341716,90464773,130,"Action, Adventure, Thriller","When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space."
61,Shaft,2000,R,5.9,50.0,1341716,70334258,99,"Action, Crime, Thriller",New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.
62,Mission to Mars,2000,PG,5.7,34.0,1341716,60883407,114,"Adventure, Sci-Fi, Thriller","When the first manned mission to Mars meets with a catastrophic and mysterious disaster after reporting an unidentified structure, a rescue mission is launched to investigate the tragedy and bring back any survivors."
63,Romeo Must Die,2000,R,6.1,52.0,1341716,55973336,115,"Action, Crime, Thriller",An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.
64,The Gift,2000,R,6.6,62.0,1341716,12008642,111,"Drama, Fantasy, Horror",A fortune teller with extrasensory perception is asked to help find a young woman who has mysteriously disappeared.
65,Wonder Boys,2000,R,7.2,73.0,1341716,19389454,107,"Comedy, Drama","An English Professor tries to deal with his wife leaving him, the arrival of his editor who has been waiting for his book for seven years, and the various problems that his friends and associates involve him in."
66,Titan A.E.,2000,PG,6.6,48.0,1341716,22751979,94,"Animation, Action, Adventure",A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.
67,Vertical Limit,2000,PG-13,5.9,48.0,1341716,69243859,124,"Action, Adventure, Drama","A climber must rescue his sister on top of K2, one of the world's biggest mountains."
68,The Replacements,2000,PG-13,6.6,30.0,1341716,44737059,118,"Comedy, Sport","During a pro football strike, the owners hire substitute players."
69,The Crimson Rivers,2000,R,6.9,49.0,1341716,632548,106,"Crime, Horror, Mystery",A murder detective must follow the footsteps of a brutal killer within the secrets of a classist college.
70,Hera Pheri,2000,Not Rated,8.2,-1.1,1341716,-1,156,"Action, Comedy, Crime","Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?"
71,Best in Show,2000,PG-13,7.5,78.0,1341716,18621249,90,Comedy,"A ""behind the scenes"" look into the highly competitive and cut-throat world of dog-shows through the eyes of a group of ruthless dog owners."
72,Sexy Beast,2000,R,7.3,79.0,1341716,6946056,89,"Crime, Drama, Thriller","Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them."
73,Red Planet,2000,PG-13,5.7,34.0,1341716,18000000,106,"Action, Sci-Fi, Thriller","Astronauts, and their robotic dog AMEE (Autonomous Mapping Evaluation and Evasion), search for solutions to save a dying Earth by searching on Mars, only to have the mission go terribly awry."
74,Proof of Life,2000,R,6.2,45.0,1341716,32598931,135,"Action, Drama, Thriller","Alice hires a professional negotiator to obtain the release of her engineer husband, who has been kidnapped by anti-government guerrillas in South America."
75,Thirteen Days,2000,PG-13,7.3,67.0,1341716,34592089,145,"Drama, History, Thriller","In October 1962, the Kennedy administration struggles to contain the Cuban Missile Crisis."
76,The Legend of Bagger Vance,2000,PG-13,6.7,47.0,1341716,30695227,126,"Drama, Fantasy, Sport",A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.
77,Dinosaur,2000,PG,6.5,56.0,1341716,137748063,82,"Animation, Adventure, Family",An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.
78,Quills,2000,R,7.3,70.0,1341716,7060876,124,"Biography, Drama","In a Napoleonic era insane asylum, an inmate, the irrepressible Marquis De Sade, fights a battle of wills against a tyrannically prudish doctor."
79,Taxi 2,2000,Not Rated,6.5,-1.1,1341716,729844,88,"Action, Comedy, Crime","Police inspector Emilien and his taxi-driver pal Daniel are back, this time on the tail of a group of Japanese yakuza."
80,Keeping the Faith,2000,PG-13,6.3,60.0,1341716,37047880,128,"Comedy, Drama, Romance","Two friends, a priest and a rabbi, fall in love with the same woman they knew in their youth, but the religious position of both men denies them romance."
81,Nine Queens,2000,R,7.9,80.0,1341716,1221261,114,"Crime, Drama, Thriller","Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
82,Boiler Room,2000,R,7.0,63.0,1341716,16938179,120,"Crime, Drama, Thriller","A college dropout, attempting to live up to his father's high standards, gets a job as a broker for a suburban investment firm which puts him on the fast track to success. But the job might not be as legitimate as it first appeared to be."
83,Nutty Professor II: The Klumps,2000,PG-13,4.4,38.0,1341716,123309890,106,"Comedy, Romance, Sci-Fi","Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love."
84,28 Days,2000,PG-13,6.1,46.0,1341716,37170488,103,"Comedy, Drama",A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.
85,Rules of Engagement,2000,R,6.4,45.0,1341716,61335230,128,"Drama, Thriller, War",An attorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a Middle Eastern country.
86,Ginger Snaps,2000,Not Rated,6.8,70.0,1341716,2554,108,"Drama, Fantasy, Horror","Two death-obsessed sisters, outcasts in their suburban neighborhood, must deal with the tragic consequences when one of them is bitten by a deadly werewolf."
87,The Kid,2000,PG,6.1,45.0,1341716,69691949,104,"Comedy, Family, Fantasy",An unhappy and disliked image consultant gets a second shot at life when he is mysteriously confronted by an eight-year-old version of himself.
88,Shadow of the Vampire,2000,R,6.9,71.0,1341716,8293784,92,"Drama, Horror",The filming of Nosferatu (1922) is hampered by the fact that its star Max Schreck is taking the role of a vampire far more seriously than seems humanly possible.
89,Tigerland,2000,R,6.9,55.0,1341716,139692,101,"Drama, War","A group of recruits go through Advanced Infantry Training at Fort Polk, Louisiana's infamous Tigerland, last stop before Vietnam for tens of thousands of young men in 1971."
90,Reindeer Games,2000,R,5.8,37.0,1341716,23360779,104,"Action, Adventure, Crime","After assuming his dead cell-mate's identity to get with the other man's girlfriend, an ex-convict finds himself a reluctant participant in a casino heist."
91,Small Time Crooks,2000,PG,6.7,69.0,1341716,17071230,94,"Comedy, Crime",A loser of a crook and his wife strike it rich when a botched bank job's cover business becomes a spectacular success.
92,Next Friday,2000,R,6.2,41.0,1341716,57328603,98,Comedy,"A streetwise man flees South Central Los Angeles, heading to the suburbs and his lottery-winner uncle and cousin, to avoid a neighborhood thug with a grudge who has just escaped from prison."
93,Chopper,2000,R,7.2,65.0,1341716,234259,94,"Biography, Crime, Drama","Chopper tells the intense story of Mark ""Chopper"" Read, a legendary criminal who wrote his autobiography while serving a jail sentence in prison. His book, ""From the Inside"", upon which the film is based, was a best-seller."
94,Book of Shadows: Blair Witch 2,2000,R,4.0,15.0,1341716,26437094,90,"Adventure, Fantasy, Horror","A group of tourists arrives in Burkittsville, Maryland after seeing The Blair Witch Project (1999) to explore the mythology and phenomenon, only to come face to face with their own neuroses and possibly the witch herself."
95,102 Dalmatians,2000,G,4.9,35.0,1341716,66957026,100,"Adventure, Comedy, Family",Cruella DeVil gets out of prison and goes after the puppies once more.
96,Nurse Betty,2000,R,6.1,69.0,1341716,25167270,110,"Comedy, Crime, Drama",Comedy about a widow's post-traumatic obsession with a soap star.
97,Get Carter,2000,R,5.2,24.0,1341716,14967182,102,"Action, Crime, Drama",A Las Vegas mob enforcer travels back to his hometown to investigate his brother's mysterious death.
98,Dracula 2000,2000,R,4.9,26.0,1341716,33022767,99,"Action, Fantasy, Horror","A group of thieves breaks into a chamber expecting to find paintings, but instead they release the count himself, who travels to New Orleans to find his nemesis' daughter, Mary Van Helsing."
99,Dungeons & Dragons,2000,PG-13,3.6,14.0,1341716,15220685,107,"Action, Adventure, Fantasy","Profion, a tyrant, attempts to overthrow a peaceful kingdom ruled by a tough empress."
100,The Way of the Gun,2000,R,6.7,49.0,1341716,6055661,119,"Action, Crime, Drama",Two criminal drifters without sympathy get more than they bargained for after kidnapping and holding for ransom the surrogate mother of a powerful and shady man.
101,Where the Heart Is,2000,PG-13,6.8,30.0,1341716,33771174,120,"Comedy, Drama, Romance","A pregnant seventeen-year-old rebuilds her life after being abandoned by her boyfriend at a Walmart in Sequoyah, Oklahoma."
102,The Skulls,2000,PG-13,5.7,24.0,1341716,35007180,106,"Action, Crime, Drama","A senior at an ivy league college, who depends on scholarships and working on the side, gets accepted into the secret society The Skulls. He hopes it betters chances at Harvard but The Skulls is not what he thought and comes at a price."
103,Vampire Hunter D: Bloodlust,2000,R,7.7,62.0,1341716,151086,103,"Animation, Action, Fantasy","When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back."
104,The Art of War,2000,R,5.7,30.0,1341716,30208599,117,"Action, Adventure, Crime","UN's secretary general uses covert operations to help diplomacy along. Shaw's called back 6 months after one such operation. He witnesses the murder of Chinese UN ambassador at UN, NYC, chases the assassin and ends up a suspect."
105,You Can Count on Me,2000,R,7.5,85.0,1341716,9180275,111,Drama,"A single mother's life is thrown into turmoil after her struggling, rarely seen younger brother returns to town."
106,Mohabbatein,2000,Not Rated,7.1,-1.1,1341716,-1,216,"Musical, Drama, Romance","A film about the battle between love and fear, between two stubborn men and their opposing beliefs and the outcome of the love stories of 3 couples."
107,Pollock,2000,R,7.0,77.0,1341716,8596914,122,"Biography, Drama","A film about the life and career of the American painter, Jackson Pollock."
108,Loser,2000,PG-13,5.3,35.0,1341716,15618626,98,"Comedy, Romance","A college student, branded a loser by his roommates and booted from the dorm, falls in love with a coed who has eyes for their condescending professor."
109,Joint Security Area,2000,Not Rated,7.8,58.0,1341716,-1,110,"Action, Drama, Thriller","After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened."
110,The Watcher,2000,R,5.3,22.0,1341716,28927720,97,"Crime, Drama, Mystery",David is a serial killer of young women. Joel was in charge of catching him in LA. He moved to Chicago a broken man. So did David and sends him photos of his next victims 24 hours before the murders.
111,Autumn in New York,2000,PG-13,5.7,24.0,1341716,37752931,103,"Drama, Romance","Romantic drama about an aging playboy who falls for a sweet, but terminally ill, young woman."
112,Before Night Falls,2000,R,7.2,85.0,1341716,4221817,133,"Biography, Drama, Romance","The life of Cuban poet and novelist, Reinaldo Arenas."
113,The Contender,2000,R,6.9,59.0,1341716,17872723,126,"Drama, Thriller","Senator Laine Hanson is a contender for U.S. Vice President, but information and disinformation about her past surfaces that threatens to derail her confirmation."
114,Under Suspicion,2000,R,6.5,43.0,1341716,258691,110,"Crime, Drama, Thriller","A wealthy attorney in San Juan comes to the police station for ""10 minutes"" of follow-up questions to finding a 12-year-old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence points to him."
115,Brother,2000,R,7.1,47.0,1341716,447750,114,"Crime, Drama, Thriller","A Japanese gangster is exiled to Los Angeles where his brother lives with a small but respectable multi-racial gang, who he inspires to expand their influence."
116,The Flintstones in Viva Rock Vegas,2000,PG,3.7,27.0,1341716,35268275,90,"Comedy, Family, Romance","In this live-action prequel to The Flintstones (1994), the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma Slaghoople (Kristen Johnston) is pursued by playboy Chip Rockefeller (Thomas Gibson)."
117,In July,2000,Not Certified,7.7,71.0,1341716,-1,99,"Adventure, Comedy, Romance","A young, insecure teacher embarks on a journey through Europe to Turkey, where he wants to see a woman again whom he believes to be his fate."
118,The Million Dollar Hotel,2000,R,5.9,25.0,1341716,52526,122,"Drama, Mystery, Thriller","Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance."
119,Yi Yi,2000,Not Rated,8.2,93.0,1341716,1136776,173,"Drama, Romance",Each member of a middle-class Taipei family seeks to reconcile past and present relationships within their daily lives.
120,100 Girls,2000,R,5.8,-1.1,1341716,-1,94,"Comedy, Romance","Matt spends the night with a girl in an elevator during power outage in a girls' college dorm. He never sees her. Waking up in the morning, panties are all that's left of her. How does he find her in a building with 100 girls?"
121,Together,2000,R,7.4,84.0,1341716,1069156,106,"Comedy, Drama, Romance","In 1975, the dynamics of a Swedish commune begin to change upon the arrival of a beaten wife and her two kids."
122,State and Main,2000,R,6.7,75.0,1341716,6920692,105,"Comedy, Drama",A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.
123,Bounce,2000,PG-13,5.7,52.0,1341716,36805288,106,"Drama, Romance",A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.
124,The Yards,2000,R,6.4,58.0,1341716,882710,115,"Crime, Drama, Romance",Leo is released from prison after serving time for car theft. His plan to go straight falls apart when he meets his corrupt uncle for a job and later an old friend working there. It culminates at the (railroad) yards.
125,Flickering Lights,2000,Not Rated,7.7,47.0,1341716,-1,109,"Action, Comedy, Crime","A gang of 4 Danish criminals are ordered by Færingen to steal a bag from a safe. When they see DKK4,000,000 in the bag, they keep it for themselves and head for Spain. They end up in a ruin of an old restaurant on Funen and renovate it."
126,Return to Me,2000,PG,6.9,54.0,1341716,32662299,115,"Comedy, Drama, Romance",A man who falls in love with the woman who received his wife's heart must decide which woman it is who holds his heart.
127,Highlander: Endgame,2000,R,4.6,21.0,1341716,12801190,87,"Action, Adventure, Fantasy","Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone."
128,The Adventures of Rocky & Bullwinkle,2000,PG,4.2,36.0,1341716,26000610,92,"Animation, Adventure, Comedy","When enemies Boris, Natasha, and Fearless Leader escape into the real world with a nefarious scheme, Rocky and Bullwinkle do the same, and team up with a young F.B.I. Agent to stop the trio."
129,My Dog Skip,2000,PG,7.0,61.0,1341716,34099640,95,"Comedy, Drama, Family","A shy boy grows up in 1940s Mississippi with the help of his beloved dog, Skip."
130,Center Stage,2000,PG-13,6.7,52.0,1341716,17174870,115,"Drama, Music, Romance",A group of 12 teenagers from various backgrounds enroll at the American Ballet Academy in New York to make it as ballet dancers and each one deals with the problems and stress of training and getting ahead in the world of dance.
131,Love & Basketball,2000,PG-13,7.2,70.0,1341716,27441122,124,"Drama, Romance, Sport",Monica and Quincy love and play basketball together through many life challenges from childhood to adulthood.
132,Dr. T & the Women,2000,R,4.6,64.0,1341716,13113041,122,"Comedy, Drama, Romance",A wealthy gynecologist's ideal life is thrown into turmoil when the women closest to him begin to affect his life in unexpecting ways.
133,Songs from the Second Floor,2000,Not Rated,7.6,77.0,1341716,2303,98,"Comedy, Drama","Where are we humans going? A film poem inspired by the Peruvian poet César Vallejo. We meet people in the city. People trying to communicate, searching compassion and get the connection of small and large things."
134,Saving Grace,2000,R,6.9,62.0,1341716,12115757,93,"Comedy, Crime","A small-town English widow, facing financial troubles after her husband's suicide, turns to agriculture of an illegal kind."
135,The Tigger Movie,2000,G,6.3,53.0,1341716,45554533,77,"Animation, Comedy, Drama",Tigger goes looking through the hundred-acre-wood to find his family.
136,Supernova,2000,PG-13,4.9,19.0,1341716,14218868,90,"Horror, Sci-Fi, Thriller",A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.
137,Baise-moi,2000,Not Rated,4.4,35.0,1341716,5793,77,"Crime, Drama, Thriller","Two young women, marginalised by society, go on a destructive tour of sex and violence. Breaking norms and killing men - and shattering the complacency of polite cinema audiences."
138,Urban Legends: Final Cut,2000,R,4.3,16.0,1341716,21468807,97,"Horror, Mystery, Thriller",A film school is the center of a fresh spate of killings based on urban legends.
139,Boys and Girls,2000,PG-13,5.4,29.0,1341716,20627372,94,"Comedy, Drama, Romance",A friendship is put to the ultimate test when two best friends wind up in bed together.
140,The Dish,2000,PG-13,7.1,74.0,1341716,2252970,101,"Comedy, Drama, History","A remote Australian community, populated by quirky characters, plays a key role in the first Apollo moon landing."
141,Gossip,2000,R,5.9,31.0,1341716,5108820,90,"Drama, Mystery, Thriller","Three college students base their class project around gossip and how fast it spreads, which soon spirals out of control."
142,Down to You,2000,PG-13,5.0,13.0,1341716,20035310,91,"Comedy, Drama, Romance",A young man wins and loses the first serious love of his life. Al Connelly falls in love with the girl of his dreams. After the summer she breaks up with him. As he tries to recover Al goes to desperate measures.
143,The Man Who Cried,2000,R,6.2,40.0,1341716,739583,100,"Drama, Music, Romance",A young refugee traveling from Russia to America in search of her lost father falls for a gypsy horseman.
144,The Princess and the Warrior,2000,R,7.5,64.0,1341716,871058,135,"Drama, Mystery, Romance",Two enamoured strangers look for a warm place in a cold world.
